id,plu,category,commodity,variety,size,botanical,aka
411,3411,Vegetables,MUSHROOMS,Sheep Polypore,All Sizes,Albatrellus ovinus (tbc),
412,3412,Vegetables,ONIONS,Yellow/Brown Fresh - Bunch,All Sizes,Allium spp.,
413,3413,Vegetables,PEPPERS (CAPSICUMS),Tabasco,All Sizes,Capsicum spp,
414,3414,Vegetables,POTATO,Baking - White,All Sizes,Solanum tuberosum,
415,3415,Vegetables,POTATO,Baking - Red and Red Eye varieties,All Sizes,Solanum tuberosum,
416,3416,Vegetables,RHUBARB,Bunch,All Sizes,Rheum x rhabarbarum,
417,3417,Vegetables,SPINACH,New Zealand Spinach,All Sizes,Tetragonia tetragonioides,
418,3418,Vegetables,SQUASH,Zucchini/Courgette - Round,All Sizes,C.pepo,
419,3419,Herbs,BORAGE,,All Sizes,Borago officinalis,
420,3420,Fruits,PEARS,Belle du Jumet,All Sizes,Pyrus spp.,Honey Belle
421,3421,Fruits,MELON,Watermelon - Mini Seedless,3-7 LBS,Citrullus lanatus,
422,3422,Fruits,APRICOTS,InterSpecific,All Sizes,Prunus armeniaca,
423,3423,Vegetables,TOMATOES,Heirloom ,All Sizes,Lycopersicon esculenta,"Varieties include but are not limited to: Amish Salad, Anna Russian, Aunt Ruby's Yellow Cherry, Big Italian Plum, Black Plum, Black Prince, Black Zebra, Brandywine, Dr. Caroline, Earl of Edgecomb, Eva Purple Ball, Flamme, Green Zebra, Hawaiian Pineapple"
424,3424,Vegetables,CARROTS,Purple/Red - Beta Sweet,All Sizes,Daucus carota,
425,3425,Fruits,TANGERINES/MANDARINS,Ellendale,Small,Citrus spp.,
426,3426,Fruits,TANGERINES/MANDARINS,Ellendale,Medium,Citrus spp.,
427,3427,Fruits,TANGERINES/MANDARINS,Ellendale,Large,Citrus spp.,
428,3428,Fruits,TANGERINES/MANDARINS,Honey/Murcott,Small,Citrus spp.,
429,3429,Fruits,TANGERINES/MANDARINS,Honey/Murcott,Medium,Citrus spp.,
430,3430,Fruits,TANGERINES/MANDARINS,Honey/Murcott,Large,Citrus spp.,
431,3431,Fruits,TANGERINES/MANDARINS,Imperial,Small,Citrus spp.,
432,3432,Fruits,TANGERINES/MANDARINS,Imperial,Medium,Citrus spp.,
433,3433,Fruits,TANGERINES/MANDARINS,Imperial,Large,Citrus spp.,
434,3434,Fruits,PEARS,Tosca,All Sizes,Pyrus spp.,
435,3435,Fruits,APPLES,Pinova,All Sizes,Malus domestica,
436,3436,Vegetables,CAULIFLOWER,Orange,All Sizes,Brassica oleracea,
437,3437,Fruits,NECTARINE,Flat Yellow,All Sizes,Prunus persica,
438,3438,Fruits,APPLES,Ambrosia,All other sizes,Malus domestica,
439,3439,Fruits,NECTARINE,White Flesh Flat,All Sizes,Prunus persica,
440,3440,Fruits,POMEGRANATE,,Large,Punica granatum,
441,3441,Vegetables,SQUASH,Butterkin,All Sizes,Cucurbita moshata,
442,3442,Fruits,APPLES,New York 1,All Sizes,Malus domestica,SnapDragon
443,3443,Fruits,APPLES,New York 2,All Sizes,Malus domestica,RubyFrost
444,3444,Fruits,APPLES,Green Dragon,All Sizes,Malus domestica,Chin Loung
